circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Double,No_Kink,8062,320116
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Double,Yes_Kink,8062,320568
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Single,No_Kink,8664,320407
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Proj,Yes_Kink,7131,2918064
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Single,Yes_Kink,8664,329964
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Double,No_Kink,8062,338756
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Double,Yes_Kink,8062,336667
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Single,No_Kink,8664,336126
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Double,No_Kink,8062,335700
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Double,Yes_Kink,8062,333156
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Proj,Yes_Kink,7130,2805631
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Single,No_Kink,8664,334516
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Proj,No_Kink,7129,2973510
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Double,No_Kink,8062,328779
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Double,Yes_Kink,8062,326689
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Proj,Yes_Kink,7130,3409361
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Single,No_Kink,8664,325242
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Proj,No_Kink,7128,3942591
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Double,No_Kink,8062,302553
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Proj,Yes_Kink,7129,3840728
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Proj,No_Kink,7131,3433799
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.01,Proj,Yes_Kink,7134,3462456
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Double,Yes_Kink,8062,301302
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.001,Proj,No_Kink,7133,3473621
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Single,No_Kink,8664,301226
