circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,1,Single,Yes_Kink,365,134648
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,1,Proj,No_Kink,357,226833
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,1,Proj,Yes_Kink,368,224545
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Double,No_Kink,462,201863
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Double,Yes_Kink,558,222841
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Proj,No_Kink,450,211789
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Single,No_Kink,463,174520
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.001,Proj,Yes_Kink,463,209741
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Double,No_Kink,454,201049
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Proj,No_Kink,444,209655
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Double,Yes_Kink,545,221770
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Single,No_Kink,457,174356
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.01,Proj,Yes_Kink,457,207397
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Double,No_Kink,462,201825
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Proj,No_Kink,450,211012
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Double,Yes_Kink,553,222704
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Single,No_Kink,466,174033
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,0.1,Proj,Yes_Kink,466,209643
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Double,No_Kink,457,196027
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Double,Yes_Kink,551,217666
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Proj,No_Kink,436,204503
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Single,No_Kink,456,167486
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,1,SA,1,Proj,Yes_Kink,450,202912
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Double,No_Kink,462,224367
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Double,Yes_Kink,520,239520
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Proj,No_Kink,401,263930
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Single,No_Kink,464,194929
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Single,Yes_Kink,472,197947
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.001,Proj,Yes_Kink,426,268769
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Double,No_Kink,497,231809
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Double,Yes_Kink,539,244943
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Single,No_Kink,501,204483
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Proj,No_Kink,429,281886
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Proj,Yes_Kink,451,285572
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.01,Single,Yes_Kink,517,208978
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Double,No_Kink,458,204799
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Single,Yes_Kink,470,181096
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Double,Yes_Kink,522,215872
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Single,No_Kink,462,181292
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Double,No_Top,330,69965
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Proj,Yes_Kink,433,273069
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,0.1,Proj,No_Kink,408,267171
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Double,No_Kink,451,201195
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Proj,No_Top,285,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Single,No_Top,345,71447
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Double,Yes_Kink,509,209139
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Double,No_MSF,566,35432
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Single,No_Kink,454,177108
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Double,No_Top,566,85592
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Single,Yes_Kink,453,176736
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Proj,No_MSF,246,4440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Proj,No_Kink,400,261017
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Proj,No_Top,285,54600
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Double,No_Kink,621,208610
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,SA,1,Proj,Yes_Kink,425,267762
