                                                    | Single No Top (2D RND) | Single No Kink (2D RND) | Proj No Top (2D RND) | Proj No Kink (2D RND) | Double No Top (2D RND) | Double No Kink (2D RND) | Double Yes Kink (2D RND) | Double Yes Kink w/ skip (2D RND) | Double Yes Kink two cells (2D RND) | Single No Top (2D SA) | Single No Kink (2D SA) | Proj No Top (2D SA) | Proj No Kink (2D SA) | Double No Top (2D SA) | Double No Kink (2D SA) | Double Yes Kink (2D SA) | Double Yes Kink w/ skip (2D SA) | Double Yes Kink two cells (2D SA) | Single No Top (2.5D RND) | Single No Kink (2.5D RND) | Single Yes Kink (2.5D RND) | Proj No Top (2.5D RND) | Proj No Kink (2.5D RND) | Double No Top (2.5D RND) | Double No Kink (2.5D RND) | Double Yes Kink (2.5D RND) | Double Yes Kink w/ skip (2.5D RND) | Double Yes Kink two cells (2.5D RND) | Single No Top (2.5D SA) | Single No Kink (2.5D SA) | Single Yes Kink (2.5D SA) | Proj No Top (2.5D SA) | Proj No Kink (2.5D SA) | Double No Top (2.5D SA) | Double No Kink (2.5D SA) | Double Yes Kink (2.5D SA) | Double Yes Kink w/ skip (2.5D SA) | Double Yes Kink two cells (2.5D SA)
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_3.in |                   2539 |                    3030 |                 2221 |                  2236 |                   2247 |                    2278 |                     2547 |                             2623 |                               2448 |                  2539 |                   2544 |                2221 |                 2228 |                  2247 |                   2247 |                    2555 |                            2556 |                              2555 |                     2539 |                      2545 |                       2558 |                   2221 |                    2231 |                     2247 |                      2251 |                       2724 |                               2963 |                                 2389 |                    2539 |                     2539 |                      2540 |                  2221 |                   2224 |                    2247 |                     2247 |                      2433 |                              2653 |                                2430
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_4.in |                   1296 |                    2408 |                 1112 |                  1195 |                   1141 |                    1499 |                     1601 |                             1619 |                               1558 |                  1296 |                   1304 |                1112 |                 1119 |                  1141 |                   1144 |                    1257 |                            1259 |                              1251 |                     1296 |                      1325 |                       1373 |                   1112 |                    1129 |                     1141 |                      1166 |                       1381 |                               1702 |                                 1287 |                    1296 |                     1300 |                      1300 |                  1112 |                   1118 |                    1141 |                     1142 |                      1232 |                              1253 |                                1226
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_5.in |                    678 |                    1966 |                  557 |                   819 |                    589 |                    1179 |                     1186 |                             1178 |                               1183 |                   678 |                    699 |                 557 |                  568 |                   589 |                    596 |                     660 |                             667 |                               657 |                      678 |                       852 |                        878 |                    557 |                     648 |                      589 |                       726 |                        848 |                               1084 |                                  748 |                     678 |                      679 |                       685 |                   557 |                    566 |                     589 |                      591 |                       703 |                               702 |                                 699
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_6.in |                    374 |                    1762 |                  280 |                   687 |                    315 |                     984 |                      994 |                              990 |                                993 |                   374 |                    402 |                 280 |                  300 |                   315 |                    327 |                     383 |                             377 |                               381 |                      374 |                       667 |                        688 |                    280 |                     481 |                      315 |                       570 |                        591 |                                750 |                                  585 |                     374 |                      377 |                       391 |                   280 |                    292 |                     315 |                      328 |                       377 |                               389 |                                 374
            result_SELECT_10_Schwinger_OBC_0_0_0.in |                    291 |                     291 |                  244 |                   248 |                    254 |                     254 |                      277 |                              277 |                                275 |                   291 |                    291 |                 244 |                  245 |                   254 |                    254 |                     277 |                             277 |                               277 |                      291 |                       291 |                        291 |                    244 |                     244 |                      254 |                       254 |                        274 |                                274 |                                  256 |                     291 |                      291 |                       291 |                   244 |                    244 |                     254 |                      254 |                       277 |                               277 |                                 276
            result_SELECT_10_Schwinger_OBC_0_0_1.in |                    155 |                     157 |                  124 |                   128 |                    133 |                     133 |                      152 |                              153 |                                145 |                   155 |                    155 |                 124 |                  125 |                   133 |                    133 |                     147 |                             147 |                               147 |                      155 |                       155 |                        157 |                    124 |                     125 |                      133 |                       133 |                        154 |                                156 |                                  152 |                     155 |                      155 |                       155 |                   124 |                    125 |                     133 |                      133 |                       148 |                               148 |                                 145
            result_SELECT_10_Schwinger_OBC_0_0_2.in |                     88 |                      90 |                   62 |                    69 |                     72 |                      74 |                       87 |                               92 |                                 86 |                    88 |                     88 |                  62 |                   63 |                    72 |                     74 |                      83 |                              83 |                                82 |                       88 |                        88 |                         90 |                     62 |                      68 |                       72 |                        73 |                         87 |                                 96 |                                   80 |                      88 |                       88 |                        90 |                    62 |                     65 |                      72 |                       72 |                        82 |                                82 |                                  80
            result_SELECT_10_Schwinger_OBC_0_0_3.in |                     58 |                      79 |                   32 |                    49 |                     43 |                      60 |                       67 |                               70 |                                 64 |                    58 |                     58 |                  32 |                   36 |                    43 |                     44 |                      53 |                              54 |                                51 |                       58 |                        59 |                         60 |                     32 |                      41 |                       43 |                        47 |                         57 |                                 64 |                                   52 |                      58 |                       59 |                        59 |                    32 |                     34 |                      43 |                       43 |                        56 |                                57 |                                  51
            result_SELECT_10_Schwinger_OBC_0_0_4.in |                     50 |                      80 |                   16 |                    47 |                     33 |                      59 |                       65 |                               65 |                                 66 |                    50 |                     51 |                  16 |                   27 |                    33 |                     35 |                      43 |                              45 |                                42 |                       50 |                        54 |                         59 |                     16 |                      35 |                       33 |                        43 |                         56 |                                 56 |                                   50 |                      50 |                       50 |                        51 |                    16 |                     24 |                      33 |                       33 |                        43 |                                44 |                                  40
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_0.in |                   1422 |                    1422 |                 1200 |                  1200 |                   1264 |                    1264 |                     1352 |                             1367 |                               1322 |                  1422 |                   1422 |                1200 |                 1200 |                  1264 |                   1264 |                    1373 |                            1373 |                              1371 |                     1422 |                      1422 |                       1422 |                   1200 |                    1201 |                     1264 |                      1264 |                       1373 |                               1373 |                                 1319 |                    1422 |                     1422 |                      1422 |                  1200 |                   1200 |                    1264 |                     1264 |                      1375 |                              1374 |                                1374
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_1.in |                    822 |                     822 |                  750 |                   751 |                    776 |                     777 |                      805 |                              800 |                                794 |                   822 |                    822 |                 750 |                  750 |                   776 |                    776 |                     814 |                             814 |                               813 |                      822 |                       822 |                        822 |                    750 |                     750 |                      776 |                       776 |                        823 |                                841 |                                  782 |                     822 |                      822 |                       823 |                   750 |                    750 |                     776 |                      776 |                       811 |                               811 |                                 810
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_2.in |                    476 |                     477 |                  451 |                   458 |                    465 |                     467 |                      476 |                              479 |                                472 |                   476 |                    476 |                 451 |                  452 |                   465 |                    466 |                     476 |                             479 |                               476 |                      476 |                       476 |                        476 |                    451 |                     455 |                      465 |                       467 |                        478 |                                501 |                                  467 |                     476 |                      476 |                       476 |                   451 |                    452 |                     465 |                      465 |                       474 |                               474 |                                 472
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_3.in |                    255 |                     261 |                  224 |                   235 |                    240 |                     245 |                      259 |                              264 |                                250 |                   255 |                    255 |                 224 |                  225 |                   240 |                    240 |                     252 |                             252 |                               251 |                      255 |                       255 |                        257 |                    224 |                     231 |                      240 |                       242 |                        258 |                                267 |                                  246 |                     255 |                      255 |                       256 |                   224 |                    227 |                     240 |                      240 |                       254 |                               256 |                                 249
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_4.in |                    146 |                     231 |                  115 |                   133 |                    134 |                     149 |                      161 |                              164 |                                154 |                   146 |                    146 |                 115 |                  116 |                   134 |                    135 |                     143 |                             143 |                               143 |                      146 |                       148 |                        149 |                    115 |                     127 |                      134 |                       136 |                        153 |                                185 |                                  147 |                     146 |                      146 |                       146 |                   115 |                    117 |                     134 |                      134 |                       146 |                               146 |                                 145
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_5.in |                    102 |                     225 |                   56 |                   105 |                     78 |                     148 |                      153 |                              156 |                                152 |                   102 |                    103 |                  56 |                   62 |                    78 |                     79 |                      91 |                              93 |                                89 |                      102 |                       116 |                        120 |                     56 |                      80 |                       78 |                        94 |                        111 |                                137 |                                  101 |                     102 |                      102 |                       102 |                    56 |                     62 |                      78 |                       79 |                        92 |                                94 |                                  89
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_6.in |                     74 |                     258 |                   31 |                   112 |                     54 |                     156 |                      163 |                              161 |                                159 |                    74 |                     84 |                  31 |                   40 |                    54 |                     59 |                      69 |                              70 |                                65 |                       74 |                       120 |                        123 |                     31 |                      76 |                       54 |                       101 |                        111 |                                114 |                                  106 |                      74 |                       75 |                        77 |                    31 |                     40 |                      54 |                       54 |                        67 |                                69 |                                  63
